Date,"Closing Value"
1953-11-09,278.2600
1953-11-10,275.8900
1953-11-12,276.2300
1953-11-13,277.5300
1953-11-16,275.9300
1953-11-17,273.8800
1953-11-18,274.5100
1953-11-19,276.0900
1953-11-20,276.0500
1953-11-23,275.4200
1953-11-24,277.1300
1953-11-25,277.7800
1953-11-27,280.2300
1953-11-30,281.3700
1953-12-01,281.1000
1953-12-02,282.8100
1953-12-03,283.2500
1953-12-04,282.7100
1953-12-07,282.0000
1953-12-08,281.4500
1953-12-09,281.1200
1953-12-10,279.8900
1953-12-11,279.9100
1953-12-14,279.2600
1953-12-15,279.5200
1953-12-16,282.8700
1953-12-17,282.6700
1953-12-18,283.5400
1953-12-21,282.9900
1953-12-22,279.9900
1953-12-23,279.8400
1953-12-24,280.9200
1953-12-28,279.9100
1953-12-29,278.3000
1953-12-30,280.4300
1953-12-31,280.9000
1954-01-04,282.8900
1954-01-05,284.1900
1954-01-06,283.9600
1954-01-07,282.6000
1954-01-08,281.5100
1954-01-11,279.8700
1954-01-12,281.5100
1954-01-13,283.0300
1954-01-14,284.4900
1954-01-15,286.7200
1954-01-18,286.0300
1954-01-19,288.2700
1954-01-20,289.1400
1954-01-21,289.4800
1954-01-22,289.6500
1954-01-25,290.4000
1954-01-26,292.8500
1954-01-27,292.2200
1954-01-28,291.5100
1954-01-29,292.3900
1954-02-01,291.8400
1954-02-02,291.1700
1954-02-03,292.3200
1954-02-04,294.0300
1954-02-05,293.9700
1954-02-08,293.5800
1954-02-09,293.7900
1954-02-10,292.9500
1954-02-11,292.4500
1954-02-12,293.9900
1954-02-15,292.5500
1954-02-16,289.6100
1954-02-17,290.1100
1954-02-18,291.5100
1954-02-19,291.0700
1954-02-23,290.0300
1954-02-24,289.5400
1954-02-25,291.4100
1954-02-26,294.5400
1954-03-01,296.5500
1954-03-02,297.4800
1954-03-03,297.0300
1954-03-04,297.4800
1954-03-05,299.4500
1954-03-08,298.6400
1954-03-09,299.4500
1954-03-10,299.5900
1954-03-11,300.8300
1954-03-12,299.7100
1954-03-15,298.8800
1954-03-16,298.0900
1954-03-17,298.3100
1954-03-18,300.1000
1954-03-19,301.4400
1954-03-22,301.6000
1954-03-23,299.0200
1954-03-24,296.8900
1954-03-25,296.4000
1954-03-26,299.0800
1954-03-29,300.0600
1954-03-30,300.8900
1954-03-31,303.5100
1954-04-01,306.2700
1954-04-02,306.6700
1954-04-05,307.0400
1954-04-06,304.2600
1954-04-07,305.4100
1954-04-08,307.7900
1954-04-09,309.3900
1954-04-12,309.1900
1954-04-13,308.9800
1954-04-14,311.7600
1954-04-15,313.7700
1954-04-19,311.7800
1954-04-20,311.8900
1954-04-21,310.9100
1954-04-22,311.4800
1954-04-23,313.3700
1954-04-26,314.5400
1954-04-27,313.4900
1954-04-28,313.7500
1954-04-29,318.2200
1954-04-30,319.3300
1954-05-03,319.3500
1954-05-04,319.8200
1954-05-05,317.9300
1954-05-06,320.4100
1954-05-07,321.3000
1954-05-10,321.3200
1954-05-11,319.7400
1954-05-12,321.6100
1954-05-13,320.3900
1954-05-14,322.5000
1954-05-17,323.3300
1954-05-18,324.1400
1954-05-19,323.2100
1954-05-20,323.8800
1954-05-21,326.0900
1954-05-24,326.0900
1954-05-25,325.0200
1954-05-26,327.1100
1954-05-27,326.3700
1954-05-28,327.4900
1954-06-01,328.6700
1954-06-02,328.3600
1954-06-03,328.6300
1954-06-04,327.6300
1954-06-07,327.9600
1954-06-08,321.0000
1954-06-09,319.2700
1954-06-10,320.1200
1954-06-11,322.0900
1954-06-14,322.6500
1954-06-15,325.2100
1954-06-16,327.2800
1954-06-17,327.2100
1954-06-18,327.9100
1954-06-21,328.5600
1954-06-22,329.5100
1954-06-23,330.7200
1954-06-24,332.2000
1954-06-25,332.5300
1954-06-28,336.1200
1954-06-29,336.9000
1954-06-30,333.5300
1954-07-01,334.1200
1954-07-02,337.6600
1954-07-06,341.1200
1954-07-07,340.3400
1954-07-08,339.8100
1954-07-09,341.2500
1954-07-12,340.9100
1954-07-13,340.0400
1954-07-14,340.4400
1954-07-15,341.0600
1954-07-16,339.9600
1954-07-19,338.6400
1954-07-20,337.6200
1954-07-21,339.9800
1954-07-22,342.9700
1954-07-23,343.4800
1954-07-26,343.3900
1954-07-27,344.6900
1954-07-28,345.1100
1954-07-29,346.1500
1954-07-30,347.9200
1954-08-02,349.5600
1954-08-03,349.6100
1954-08-04,349.7400
1954-08-05,347.7900
1954-08-06,343.0600
1954-08-09,340.8700
1954-08-10,343.5600
1954-08-11,346.4100
1954-08-12,345.8400
1954-08-13,346.6400
1954-08-16,349.6100
1954-08-17,348.3800
1954-08-18,348.5100
1954-08-19,349.8900
1954-08-20,350.3800
1954-08-23,347.6400
1954-08-24,346.3200
1954-08-25,344.6000
1954-08-26,343.3500
1954-08-27,344.4800
1954-08-30,341.2500
1954-08-31,335.8000
1954-09-01,338.1300
1954-09-02,341.1500
1954-09-03,343.1000
1954-09-07,345.3700
1954-09-08,346.0700
1954-09-09,346.7300
1954-09-10,347.8300
1954-09-13,351.1000
1954-09-14,351.7800
1954-09-15,350.6300
1954-09-16,352.3700
1954-09-17,355.3200
1954-09-20,353.4800
1954-09-21,356.4000
1954-09-22,358.3600
1954-09-23,359.6300
1954-09-24,361.6700
1954-09-27,362.2600
1954-09-28,363.3200
1954-09-29,361.7300
1954-09-30,360.4600
1954-10-01,359.8800
1954-10-04,362.7300
1954-10-05,363.3700
1954-10-06,364.4300
1954-10-07,363.7900
1954-10-08,363.7700
1954-10-11,361.4300
1954-10-12,359.5700
1954-10-13,358.9100
1954-10-14,354.6900
1954-10-15,353.2000
1954-10-18,354.3500
1954-10-19,354.7500
1954-10-20,357.4200
1954-10-21,358.0800
1954-10-22,358.6100
1954-10-25,356.3400
1954-10-26,356.3200
1954-10-27,355.7300
1954-10-28,354.5600
1954-10-29,352.1400
1954-11-01,353.9600
1954-11-03,361.5000
1954-11-04,366.9500
1954-11-05,366.0000
1954-11-08,369.4600
1954-11-09,371.0700
1954-11-10,371.8800
1954-11-11,374.9100
1954-11-12,377.1000
1954-11-15,376.7400
1954-11-16,379.3900
1954-11-17,379.6900
1954-11-18,377.4400
1954-11-19,378.0100
1954-11-22,379.4700
1954-11-23,382.7400
1954-11-24,384.6300
1954-11-26,387.7900
1954-11-29,388.5100
1954-11-30,386.7700
1954-12-01,384.0400
1954-12-02,385.6300
1954-12-03,389.6000
1954-12-06,392.4800
1954-12-07,393.8800
1954-12-08,393.0800
1954-12-09,391.5300
1954-12-10,390.0800
1954-12-13,389.7900
1954-12-14,387.0300
1954-12-15,388.9200
1954-12-16,393.1400
1954-12-17,394.9400
1954-12-20,397.3200
1954-12-21,398.1100
1954-12-22,397.0700
1954-12-23,397.1500
1954-12-27,393.8800
1954-12-28,398.5100
1954-12-29,401.9700
1954-12-30,401.9700
1954-12-31,404.3900
1955-01-03,408.8900
1955-01-04,406.1700
1955-01-05,397.2400
1955-01-06,391.8900
1955-01-07,395.6000
1955-01-10,400.8900
1955-01-11,400.2500
1955-01-12,399.7800
1955-01-13,398.3400
1955-01-14,396.5400
1955-01-17,388.2000
1955-01-18,390.9800
1955-01-19,392.3100
1955-01-20,393.0300
1955-01-21,395.9000
1955-01-24,396.0000
1955-01-25,397.0000
1955-01-26,401.9700
1955-01-27,402.6000
1955-01-28,404.6800
1955-01-31,408.8300
1955-02-01,409.7000
1955-02-02,407.1100
